"Marca de temps","Situació 1: Els nivells de qualitat de l'aire estan baixos dins l'aula. Quines d'aquestes mesures prendries tenint en compte els avantatges i desavantatges de cada opció:
Nota: es poden tenir en compte variables com el soroll, corrent de l'aire, il·luminació, temperatura, posible aire acondicionat, posible sistema de calefacció, etc. (aplicable a la resta de preguntes)","Situació 2: Els nivells de qualitat de l'aire estan baixos dins l'aula, però plou fora (les finestres estan tancades). Quines d'aquestes mesures prendries:","Situació 3:   La temperatura aparent de l'aula està molt elevada. Quines d'aquestes mesures prendries tenint en compte que la temperatura exterior és més freda i fa sol:","Situació 4:   La temperatura aparent de l'aula està molt elevada. Quines d'aquestes mesures prendries tenint en compte que la temperatura exterior és més freda, però no fa sol:","Situació 5:   La temperatura aparent de l'aula està molt elevada. Quines d'aquestes mesures prendries tenint en compte que la temperatura exterior és més calenta i fa sol:","Situació 6:   La temperatura aparent de l'aula està molt elevada. Quines d'aquestes mesures prendries tenint en compte que la temperatura exterior és més calenta, però no fa sol:","Situació 7:   La temperatura aparent de l'aula està molt elevada, però plou fora (les finestres estan tancades). Quines d'aquestes mesures prendries:","Situació 8:   La temperatura aparent de l'aula està molt baixa. Quines d'aquestes mesures prendries tenint en compte que la temperatura exterior és més freda i fa sol:","Situació 9:   La temperatura aparent de l'aula està molt baixa. Quines d'aquestes mesures prendries tenint en compte que la temperatura exterior és més freda, però no fa sol:","Situació 10:   La temperatura aparent de l'aula està molt baixa. Quines d'aquestes mesures prendries tenint en compte que la temperatura exterior és més calenta i fa sol:","Situació 11:   La temperatura aparent de l'aula està molt baixa. Quines d'aquestes mesures prendries tenint en compte que la temperatura exterior és més calenta, però no fa sol:","Situació 12:   La temperatura aparent de l'aula està molt baixa, però plou fora (les finestres estan tancades). Quines d'aquestes mesures prendries:","Situació 13:  Els nivells d'il·luminació de l'aula estan baixos.  Quines d'aquestes mesures prendries:","Situació 14:  Els nivells d'il·luminació de l'aula estan elevats.  Quines d'aquestes mesures prendries:","",""
"2024/05/23 7:05:09 p. m. EEST","Obrir les portes;Obrir les finestres;Abaixar parcialment les persianes","Obrir les portes","Obrir les portes;Obrir les finestres;Abaixar parcialment les persianes","Obrir les portes;Obrir les finestres;Pujar totalment les persianes","Obrir les portes;Tancar les finestres;Abaixar totalment les persianes","Obrir les portes;Tancar les finestres;Pujar totalment les persianes","Tancar les portes;Pujar totalment les persianes","Tancar les portes;Tancar les finestres;Pujar totalment les persianes","Tancar les portes;Tancar les finestres","Obrir les portes;Obrir les finestres;Pujar totalment les persianes","Obrir les portes;Obrir les finestres;Pujar totalment les persianes","Tancar les portes;Pujar totalment les persianes","Pujar totalment les persianes","Abaixar parcialment les persianes","",""
"2024/05/23 7:11:03 p. m. EEST","Obrir les portes;Obrir les finestres","Obrir les portes","Obrir les portes;Obrir les finestres","Obrir les portes;Obrir les finestres","Obrir les portes","Obrir les portes","Obrir les portes","Obrir les portes","Obrir les portes","Obrir les portes;Obrir les finestres","Obrir les portes;Obrir les finestres","Obrir les portes","Pujar totalment les persianes","Abaixar parcialment les persianes","",""
"2024/05/23 7:12:10 p. m. EEST","Obrir les finestres","Obrir les portes;Abaixar parcialment les persianes","Obrir les finestres;Abaixar parcialment les persianes","Obrir les finestres;Pujar totalment les persianes","Tancar les portes;Tancar les finestres;Abaixar totalment les persianes","Obrir les finestres;Abaixar parcialment les persianes","Abaixar parcialment les persianes","Obrir les finestres;Abaixar parcialment les persianes","Tancar les portes;Tancar les finestres;Abaixar totalment les persianes","Obrir les finestres;Abaixar parcialment les persianes","Obrir les finestres;Pujar totalment les persianes","Tancar les portes;Abaixar totalment les persianes","Pujar totalment les persianes","Abaixar totalment les persianes","",""
"2024/05/23 7:12:17 p. m. EEST","Obrir les finestres;Pujar totalment les persianes","Obrir les portes;Pujar totalment les persianes;Abaixar parcialment les persianes","Obrir les finestres;Pujar totalment les persianes;Abaixar parcialment les persianes","Obrir les finestres;Pujar totalment les persianes","Obrir les portes;Tancar les finestres;Abaixar parcialment les persianes","Obrir les portes;Tancar les finestres","Obrir les portes","Tancar les portes;Tancar les finestres;Pujar totalment les persianes","Tancar les portes;Tancar les finestres;Pujar totalment les persianes","Obrir les finestres;Pujar totalment les persianes","Obrir les finestres;Pujar totalment les persianes","Cap de les anteriors mesures","Pujar totalment les persianes","Abaixar parcialment les persianes","",""
"2024/05/23 7:16:03 p. m. EEST","Obrir les finestres","Obrir les portes","Obrir les finestres;Abaixar parcialment les persianes","Obrir les finestres;Pujar totalment les persianes","Obrir les finestres;Abaixar parcialment les persianes","Obrir les portes;Tancar les finestres","Obrir les portes;Abaixar parcialment les persianes","Obrir les finestres;Abaixar parcialment les persianes","Tancar les portes;Tancar les finestres","Obrir les finestres","Obrir les finestres;Abaixar parcialment les persianes","Tancar les portes;Abaixar totalment les persianes","Pujar totalment les persianes","Abaixar parcialment les persianes","",""
"2024/05/23 7:22:48 p. m. EEST","Obrir les portes;Obrir les finestres;Abaixar parcialment les persianes","Pujar totalment les persianes","Obrir les portes;Obrir les finestres;Abaixar totalment les persianes","Tancar les portes;Obrir les finestres;Abaixar parcialment les persianes","Tancar les portes;Tancar les finestres;Abaixar totalment les persianes","Tancar les portes;Tancar les finestres","Tancar les portes;Pujar totalment les persianes","Tancar les portes;Tancar les finestres;Abaixar parcialment les persianes","Tancar les portes;Tancar les finestres","Obrir les portes;Obrir les finestres;Pujar totalment les persianes","Tancar les portes;Obrir les finestres;Pujar totalment les persianes","Tancar les portes;Abaixar parcialment les persianes","Pujar totalment les persianes","Abaixar parcialment les persianes","",""
"2024/05/23 7:28:52 p. m. EEST","Tancar les portes;Obrir les finestres;Pujar totalment les persianes","Tancar les portes;Pujar totalment les persianes","Tancar les portes;Obrir les finestres;Abaixar parcialment les persianes","Tancar les portes;Obrir les finestres;Pujar totalment les persianes","Tancar les portes;Abaixar parcialment les persianes","Tancar les portes","Tancar les portes","Tancar les portes;Tancar les finestres;Pujar totalment les persianes","Tancar les portes;Tancar les finestres","Tancar les portes;Obrir les finestres;Pujar totalment les persianes","Tancar les portes;Obrir les finestres;Pujar totalment les persianes","Tancar les portes","Pujar totalment les persianes","Abaixar parcialment les persianes","",""
"2024/05/23 8:30:12 p. m. EEST","Obrir les portes;Obrir les finestres","Obrir les portes","Obrir les portes;Obrir les finestres","Obrir les portes;Obrir les finestres","Obrir les portes;Abaixar totalment les persianes","Obrir les portes;Abaixar totalment les persianes","Obrir les portes;Pujar totalment les persianes","Tancar les portes;Tancar les finestres","Tancar les portes;Tancar les finestres","Tancar les portes;Obrir les finestres","Tancar les portes;Obrir les finestres","Tancar les portes;Abaixar totalment les persianes","Pujar totalment les persianes","Abaixar parcialment les persianes","",""
"2024/05/23 8:42:30 p. m. EEST","Tancar les portes;Obrir les finestres;Pujar totalment les persianes","Obrir les portes;Abaixar parcialment les persianes","Tancar les portes;Obrir les finestres;Abaixar parcialment les persianes","Tancar les portes;Obrir les finestres;Pujar totalment les persianes","Tancar les portes;Obrir les finestres;Abaixar totalment les persianes","Tancar les portes;Obrir les finestres;Pujar totalment les persianes","Tancar les portes;Abaixar parcialment les persianes","Tancar les portes;Tancar les finestres;Pujar totalment les persianes","Tancar les portes;Tancar les finestres;Pujar totalment les persianes","Tancar les portes;Obrir les finestres;Abaixar parcialment les persianes","Tancar les portes;Tancar les finestres;Pujar totalment les persianes","Tancar les portes;Pujar totalment les persianes","Pujar totalment les persianes","Abaixar parcialment les persianes","",""
"2024/05/24 11:08:37 a. m. EEST","Obrir les finestres;Abaixar parcialment les persianes","Abaixar parcialment les persianes","","","","","","","","","","","","","",""
"2024/05/24 1:46:31 p. m. EEST","Obrir les finestres;Abaixar parcialment les persianes","Obrir les portes","Obrir les portes;Obrir les finestres;Abaixar parcialment les persianes","Obrir les finestres","Obrir les portes;Obrir les finestres;Abaixar parcialment les persianes","Obrir les portes","Obrir les portes","Tancar les finestres;Pujar totalment les persianes","Tancar les portes;Pujar totalment les persianes","Obrir les finestres;Pujar totalment les persianes","Obrir les finestres;Pujar totalment les persianes","Pujar totalment les persianes","Pujar totalment les persianes","Abaixar parcialment les persianes","",""
"2024/05/24 6:22:41 p. m. EEST","Obrir les finestres;Pujar totalment les persianes","Obrir les portes","Obrir les finestres;Abaixar parcialment les persianes","Obrir les portes","Obrir les finestres;Pujar totalment les persianes","Obrir les finestres;Pujar totalment les persianes","Obrir les portes;Abaixar parcialment les persianes","Tancar les portes;Tancar les finestres;Pujar totalment les persianes","Tancar les portes;Tancar les finestres;Pujar totalment les persianes","Obrir les finestres;Pujar totalment les persianes","Obrir les finestres;Pujar totalment les persianes","Tancar les portes","Pujar totalment les persianes","Abaixar parcialment les persianes","",""
"2024/05/24 7:16:00 p. m. EEST","Obrir les portes;Obrir les finestres;Pujar totalment les persianes","Obrir les portes","Obrir les portes;Obrir les finestres;Abaixar parcialment les persianes","Obrir les finestres","Obrir les portes;Obrir les finestres;Abaixar parcialment les persianes","Obrir les portes;Tancar les finestres","Obrir les portes","Tancar les portes;Tancar les finestres","Tancar les portes;Tancar les finestres;Abaixar totalment les persianes","Tancar les portes;Obrir les finestres;Pujar totalment les persianes","Tancar les portes;Obrir les finestres","Tancar les portes;Pujar totalment les persianes","Pujar totalment les persianes","Abaixar parcialment les persianes;Abaixar totalment les persianes","",""
"2024/05/24 10:04:03 p. m. EEST","Obrir les portes;Obrir les finestres;Abaixar parcialment les persianes","Obrir les portes","Obrir les portes;Obrir les finestres","Obrir les portes;Obrir les finestres","Tancar les portes;Tancar les finestres;Abaixar parcialment les persianes","Tancar les portes;Tancar les finestres;Abaixar parcialment les persianes","Obrir les portes","Tancar les portes;Tancar les finestres;Abaixar parcialment les persianes","Tancar les portes;Tancar les finestres;Abaixar parcialment les persianes","Tancar les portes;Tancar les finestres;Abaixar parcialment les persianes","Tancar les portes;Tancar les finestres;Abaixar parcialment les persianes","Tancar les portes","Pujar totalment les persianes","Abaixar parcialment les persianes","",""
